2025-10-03 19:33:57 | INFO     | src.data.processors.tabular_processor:process_file | Created 27 chunks from 5232024.xlsx
2025-10-03 19:33:57 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232025.xlsx
2025-10-03 19:33:57 | INFO     | src.data.processors.tabular_processor:process_file | Created 20 chunks from 5232025.xlsx
2025-10-03 19:33:57 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232026.xlsx
2025-10-03 19:33:57 | INFO     | src.data.processors.tabular_processor:process_file | Created 32 chunks from 5232026.xlsx
2025-10-03 19:33:57 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232027.xlsx
2025-10-03 19:33:57 | INFO     | src.data.processors.tabular_processor:process_file | Created 6 chunks from 5232027.xlsx
2025-10-03 19:33:57 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232028.xlsx
2025-10-03 19:33:58 | INFO     | src.data.processors.tabular_processor:process_file | Created 31 chunks from 5232028.xlsx
2025-10-03 19:33:58 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232029.xlsx
2025-10-03 19:33:58 | INFO     | src.data.processors.tabular_processor:process_file | Created 6 chunks from 5232029.xlsx
2025-10-03 19:33:58 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232030.xlsx
2025-10-03 19:33:58 | INFO     | src.data.processors.tabular_processor:process_file | Created 29 chunks from 5232030.xlsx
2025-10-03 19:33:58 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232031.xlsx
2025-10-03 19:33:58 | INFO     | src.data.processors.tabular_processor:process_file | Created 6 chunks from 5232031.xlsx
2025-10-03 19:33:58 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232032.xlsx
2025-10-03 19:33:58 | INFO     | src.data.processors.tabular_processor:process_file | Created 19 chunks from 5232032.xlsx
2025-10-03 19:33:58 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232033.xlsx
2025-10-03 19:33:58 | INFO     | src.data.processors.tabular_processor:process_file | Created 6 chunks from 5232033.xlsx
2025-10-03 19:33:58 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232034.xlsx
2025-10-03 19:33:58 | INFO     | src.data.processors.tabular_processor:process_file | Created 24 chunks from 5232034.xlsx
2025-10-03 19:33:58 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232035.xlsx
2025-10-03 19:33:58 | INFO     | src.data.processors.tabular_processor:process_file | Created 6 chunks from 5232035.xlsx
2025-10-03 19:33:58 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232036.xlsx
2025-10-03 19:33:58 | INFO     | src.data.processors.tabular_processor:process_file | Created 5 chunks from 5232036.xlsx
2025-10-03 19:33:58 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232037.xlsx
2025-10-03 19:33:58 | INFO     | src.data.processors.tabular_processor:process_file | Created 5 chunks from 5232037.xlsx
2025-10-03 19:33:58 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232038.xlsx
2025-10-03 19:33:59 | INFO     | src.data.processors.tabular_processor:process_file | Created 45 chunks from 5232038.xlsx
2025-10-03 19:33:59 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232039.xlsx
2025-10-03 19:33:59 | INFO     | src.data.processors.tabular_processor:process_file | Created 6 chunks from 5232039.xlsx
2025-10-03 19:33:59 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232040.xlsx
2025-10-03 19:33:59 | INFO     | src.data.processors.tabular_processor:process_file | Created 10 chunks from 5232040.xlsx
2025-10-03 19:33:59 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232041.xlsx
2025-10-03 19:33:59 | INFO     | src.data.processors.tabular_processor:process_file | Created 11 chunks from 5232041.xlsx
2025-10-03 19:33:59 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232042.xlsx
2025-10-03 19:33:59 | INFO     | src.data.processors.tabular_processor:process_file | Created 9 chunks from 5232042.xlsx
2025-10-03 19:33:59 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232043.xlsx
2025-10-03 19:33:59 | INFO     | src.data.processors.tabular_processor:process_file | Created 36 chunks from 5232043.xlsx
2025-10-03 19:33:59 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232044.xlsx
2025-10-03 19:33:59 | INFO     | src.data.processors.tabular_processor:process_file | Created 47 chunks from 5232044.xlsx
2025-10-03 19:33:59 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232045.xlsx
2025-10-03 19:34:00 | INFO     | src.data.processors.tabular_processor:process_file | Created 21 chunks from 5232045.xlsx
2025-10-03 19:34:00 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5232046.xlsx
